AreaID,PID
1,716761018
2,614656748
3,431322854
4,993963079
5,414621750
6,872919841
7,382335416
8,408232609
9,328358281
10,578611939
11,289378299
12,577471705
13,459296024
14,374393508
15,838743140
16,264056554
17,506671421
18,377443444
19,343653821
20,921201886
21,752506072
22,36000091
23,939839577
24,338177341
25,37736695
26,734105947
27,677463854
28,329204996
29,420908575
30,651281009
31,576021663
32,337684874
33,96110207
34,57140166
35,220970675
36,727876676
37,261395459
38,508941607
39,151078553
40,565292066
41,978133633
42,659812486
43,489855874
44,822365722
45,274050518
46,42686463
47,447495307
48,635556987
49,421500532
50,646729867
51,77248896
52,112705341
53,337672603
54,464560784
55,24455480
56,217744760
57,704060628
58,396433973
59,691571404
60,645052515
61,818380249
62,961565041
63,391281611
64,569413896
65,900149250
66,214487946
67,363666651
68,378656694
69,25203985
70,199901791
71,780183044
72,910478730
73,783553054
74,874749580
75,342984919
76,610890942
77,652079968
78,585616484
79,949504201
80,579967757
81,796032911
82,647468561
83,470388796
84,265541461
85,733805356
86,338321373
87,137561552
88,301360537
89,801455592
90,40099451
91,32331905
92,241615456
93,445067484
94,118421739
95,71153351
96,5200179
97,273523327
98,34835758
99,427034545
100,369122293
1,47071829
2,525639791
3,270640056
4,808574707
5,866206294
6,444101039
7,454866269
8,723762923
9,195765286
10,404196212
11,599268179
12,957826293
13,764884265
14,843049334
15,734223642
16,802652820
17,412334307
18,102843870
19,481331461
20,722704513
21,555918789
22,125890309
23,845846392
24,185769705
25,569353361
26,911891103
27,432254446
28,407845686
29,535804415
30,796801296
31,41755873
32,513928666
33,56694123
34,341280949
35,765250767
36,920856872
37,670147977
38,646926179
39,630811651
40,432624440
41,704878646
42,192911059
43,191026748
44,549274549
45,253672113
46,23208723
47,837342927
48,224229068
49,589409818
50,997935283
51,933729113
52,598773950
53,259297217
54,444280104
55,561658122
56,379180232
57,919954310
58,630402451
59,389325246
60,502988938
61,986842008
62,299136634
63,717826512
64,598406554
65,663849522
66,793187487
67,16130128
68,421983601
69,851443398
70,930142113
71,890990038
72,961528077
73,805109485
74,560292614
75,878807354
76,148780515
77,566926566
78,844723866
79,612753419
80,230638116
81,467511382
82,70261934
83,526579138
84,944166291
85,401632347
86,622032126
87,605283749
88,224575938
89,551939476
90,453884919
91,530684370
92,883329535
93,393100304
94,454984939
95,381598338
96,11701610
97,588187200
98,589938223
99,679466698
100,854438224
1,667615827
2,365556134
3,501931376
4,654089601
5,40037904
6,873899905
7,256536523
8,692224519
9,200279142
10,601370036
11,637560084
12,204115331
13,934501226
14,108356259
15,867317285
16,601663028
17,865876987
18,924048504
19,886642949
20,284119888
21,44852725
22,913816624
23,732750144
24,85648841
25,99371972
26,942091757
27,27921429
28,496403747
29,25633654
30,819757328
31,821305121
32,311932634
33,277962176
34,298451869
35,127562515
36,866081167
37,680876131
38,208223673
39,379821234
40,321690423
41,84641570
42,189819878
43,181396602
44,284036219
45,576270385
46,190544260
47,715079554
48,303039647
49,706002456
50,774063871
51,326209211
52,498232158
53,764438441
54,355746760
55,543106007
56,518707754
57,132611279
58,35377432
59,345012742
60,425062531
61,378661171
62,461957985
63,864916472
64,211905667
65,287477256
66,126781980
67,282148610
68,976172754
69,793994985
70,557732858
71,234509737
72,660310277
73,473486610
74,887289657
75,32353274
76,251993509
77,29181885
78,436614131
79,167262101
80,47931054
81,781843706
82,182043067
83,488532923
84,766564531
85,553645481
86,738185719
87,468128080
88,594869491
89,903616165
90,246867174
91,687286096
92,866642881
93,756305215
94,564694505
95,494091166
96,249654640
97,572528443
98,706328469
99,42964169
100,434018511
1,734671125
2,628309891
3,872628624
4,354935061
5,718480509
6,687475107
7,467735475
8,73120034
9,801832250
10,330625701
11,144951434
12,237774671
13,950097743
14,60938496
15,338980133
16,85942400
17,931822828
18,92083438
19,343250405
20,994810563
21,329846000
22,808694394
23,179873892
24,456861563
25,616600485
26,280967454
27,150006408
28,19105608
29,612065632
30,953516155
31,923246053
32,50712564
33,644134709
34,889839201
35,243635842
36,977240586
37,622334103
38,504836598
39,194165073
40,898964979
41,941772821
42,944033433
43,847537161
44,765939091
45,678901227
46,556399026
47,50183043
48,415840948
49,225185871
50,382514205
51,116327675
52,230935006
53,625664991
54,733866285
