projectName,startDate,CID,PID
injury,19/08/2010,129198085,716761018
judgment,29/04/2011,998586926,614656748
oven,01/08/2011,238361635,431322854
story,11/12/2011,331196517,993963079
republic,30/12/2011,823113981,414621750
emotion,14/06/2012,503267361,872919841
theory,27/08/2012,318616057,382335416
area,27/09/2012,145155939,408232609
drama,16/11/2012,716959073,328358281
scene,28/01/2013,595337786,578611939
cigarette,25/03/2013,906327556,289378299
device,22/08/2013,879250622,577471705
activity,06/10/2013,328745009,459296024
freedom,29/05/2014,942760514,374393508
hospital,15/10/2014,68829037,838743140
presence,24/10/2014,790491367,264056554
orange,06/03/2015,917489689,506671421
anxiety,23/08/2015,329358209,377443444
lake,27/07/2016,1484838,343653821
alcohol,03/04/2017,831136869,921201886
church,30/10/2017,414887697,752506072
hair,27/08/2018,135092364,36000091
fact,04/12/2018,199291546,939839577
newspaper,17/10/2019,665851092,338177341
actor,09/12/2019,534366762,37736695
attention,21/06/2010,328387155,734105947
goal,25/10/2011,889617250,677463854
truth,08/02/2012,922388519,329204996
leader,04/05/2012,261771346,420908575
event,02/10/2013,721475304,651281009
growth,23/10/2013,669424353,576021663
location,16/01/2014,108634512,337684874
driver,04/06/2014,733874802,96110207
bedroom,01/01/2015,367589971,57140166
hall,20/09/2015,657022520,220970675
reality,29/11/2015,521082400,727876676
attitude,22/01/2016,470579967,261395459
affair,20/04/2016,803212276,508941607
pie,26/04/2016,83019693,151078553
solution,07/07/2016,398973892,565292066
database,28/07/2016,268529900,978133633
message,01/11/2016,100158818,659812486
menu,03/11/2017,821692,489855874
airport,17/12/2018,360117917,822365722
throat,19/07/2019,595206199,274050518
fishing,18/09/2019,52133025,42686463
passenger,03/10/2019,704395850,447495307
guest,13/11/2019,83485251,635556987
promotion,23/12/2019,375775730,421500532
idea,26/04/2020,376959345,646729867
owner,28/09/2010,417006924,77248896
recipe,16/01/2011,482642071,112705341
economics,25/03/2011,176272329,337672603
guest,21/11/2011,805621422,464560784
courage,28/05/2012,915270313,24455480
driver,04/10/2012,841549068,217744760
device,04/11/2012,747973374,704060628
aspect,20/02/2013,586347978,396433973
inspector,30/09/2013,667817903,691571404
trainer,26/03/2014,475079556,645052515
strategy,09/06/2014,2958778,818380249
agency,01/07/2014,444602742,961565041
dealer,01/05/2015,251777025,391281611
love,12/05/2016,82367719,569413896
length,10/07/2017,791874258,900149250
article,06/11/2017,840182659,214487946
writer,14/01/2018,23364993,363666651
apple,21/02/2018,902289636,378656694
employer,09/05/2018,251486233,25203985
emphasis,03/06/2018,784156017,199901791
storage,25/11/2018,140691717,780183044
message,28/03/2019,370440483,910478730
reception,21/10/2019,46990634,783553054
chemistry,22/03/2020,16774262,874749580
fortune,07/04/2020,324249056,342984919
tongue,28/06/2010,963551477,610890942
arrival,01/08/2010,676978173,652079968
historian,17/04/2011,215430511,585616484
queen,10/08/2011,718141373,949504201
editor,03/04/2013,901649005,579967757
church,26/04/2013,735704411,796032911
height,12/06/2013,592522623,647468561
passenger,22/09/2013,2230684,470388796
night,07/05/2015,708142454,265541461
way,20/05/2015,515509270,733805356
basis,02/06/2016,551147260,338321373
system,24/06/2016,96515205,137561552
inflation,21/07/2016,971527654,301360537
road,26/07/2016,20251323,801455592
marketing,14/08/2016,284545031,40099451
chocolate,10/01/2017,206701288,32331905
photo,17/03/2017,344594417,241615456
artisan,19/10/2017,623523821,445067484
lab,08/11/2017,179034020,118421739
clothes,15/12/2017,118166746,71153351
ambition,05/08/2018,263870401,5200179
wood,05/10/2018,307652215,273523327
thought,11/10/2018,397884849,34835758
bonus,12/12/2018,927627731,427034545
awareness,31/12/2018,713402654,369122293
signature,11/01/2007,129198085,47071829
menu,12/01/2007,998586926,525639791
classroom,13/01/2007,238361635,270640056
family,14/01/2007,331196517,808574707
reception,15/01/2007,823113981,866206294
judgment,16/01/2007,503267361,444101039
town,17/01/2007,318616057,454866269
child,18/01/2007,145155939,723762923
session,19/01/2007,716959073,195765286
steak,20/01/2007,595337786,404196212
shirt,21/01/2007,906327556,599268179
video,22/01/2007,879250622,957826293
extent,23/01/2007,328745009,764884265
recipe,24/01/2007,942760514,843049334
dinner,25/01/2007,68829037,734223642
tea,26/01/2007,790491367,802652820
contract,27/01/2007,917489689,412334307
student,28/01/2007,329358209,102843870
heart,29/01/2007,1484838,481331461
potato,30/01/2007,831136869,722704513
topic,31/01/2007,414887697,555918789
math,01/02/2007,135092364,125890309
poetry,02/02/2007,199291546,845846392
studio,03/02/2007,665851092,185769705
internet,04/02/2007,534366762,569353361
guitar,05/02/2007,328387155,911891103
dealer,06/02/2007,889617250,432254446
storage,07/02/2007,922388519,407845686
media,08/02/2007,261771346,535804415
language,09/02/2007,721475304,796801296
ad,10/02/2007,669424353,41755873
mixture,11/02/2007,108634512,513928666
reading,12/02/2007,733874802,56694123
engine,13/02/2007,367589971,341280949
newspaper,14/02/2007,657022520,765250767
bread,15/02/2007,521082400,920856872
breath,16/02/2007,470579967,670147977
dirt,17/02/2007,803212276,646926179
flight,18/02/2007,83019693,630811651
lake,19/02/2007,398973892,432624440
virus,20/02/2007,268529900,704878646
passenger,21/02/2007,100158818,192911059
speech,22/02/2007,821692,191026748
person,23/02/2007,360117917,549274549
sir,24/02/2007,595206199,253672113
artisan,25/02/2007,52133025,23208723
historian,26/02/2007,704395850,837342927
cheek,27/02/2007,83485251,224229068
basket,28/02/2007,375775730,589409818
user,01/03/2007,376959345,997935283
manager,02/03/2007,417006924,933729113
movie,03/03/2007,482642071,598773950
tea,04/03/2007,176272329,259297217
blood,05/03/2007,805621422,444280104
variation,06/03/2007,915270313,561658122
priority,07/03/2007,841549068,379180232
poem,08/03/2007,747973374,919954310
chocolate,09/03/2007,586347978,630402451
republic,10/03/2007,667817903,389325246
election,11/03/2007,475079556,502988938
emphasis,12/03/2007,2958778,986842008
writer,13/03/2007,444602742,299136634
fishing,14/03/2007,251777025,717826512
grocery,15/03/2007,82367719,598406554
employer,16/03/2007,791874258,663849522
driver,17/03/2007,840182659,793187487
guidance,18/03/2007,23364993,16130128
finding,19/03/2007,902289636,421983601
lake,20/03/2007,251486233,851443398
mall,21/03/2007,784156017,930142113
dinner,22/03/2007,140691717,890990038
ability,23/03/2007,370440483,961528077
art,24/03/2007,46990634,805109485
ad,25/03/2007,16774262,560292614
depth,26/03/2007,324249056,878807354
strategy,27/03/2007,963551477,148780515
accident,28/03/2007,676978173,566926566
society,29/03/2007,215430511,844723866
people,30/03/2007,718141373,612753419
tooth,31/03/2007,901649005,230638116
basis,01/04/2007,735704411,467511382
pizza,02/04/2007,592522623,70261934
person,03/04/2007,2230684,526579138
statement,04/04/2007,708142454,944166291
chemistry,05/04/2007,515509270,401632347
child,06/04/2007,551147260,622032126
death,07/04/2007,96515205,605283749
history,08/04/2007,971527654,224575938
airport,09/04/2007,20251323,551939476
homework,10/04/2007,284545031,453884919
soup,11/04/2007,206701288,530684370
language,12/04/2007,344594417,883329535
country,13/04/2007,623523821,393100304
client,14/04/2007,179034020,454984939
internet,15/04/2007,118166746,381598338
volume,16/04/2007,263870401,11701610
user,17/04/2007,307652215,588187200
attention,18/04/2007,397884849,589938223
procedure,19/04/2007,927627731,679466698
funeral,20/04/2007,713402654,854438224
injury,21/04/2007,129198085,667615827
judgment,22/04/2007,998586926,365556134
oven,23/04/2007,238361635,501931376
story,24/04/2007,331196517,654089601
republic,25/04/2007,823113981,40037904
emotion,26/04/2007,503267361,873899905
theory,27/04/2007,318616057,256536523
area,28/04/2007,145155939,692224519
drama,29/04/2007,716959073,200279142
scene,30/04/2007,595337786,601370036
cigarette,01/05/2007,906327556,637560084
device,02/05/2007,879250622,204115331
activity,03/05/2007,328745009,934501226
freedom,04/05/2007,942760514,108356259
hospital,05/05/2007,68829037,867317285
presence,06/05/2007,790491367,601663028
orange,07/05/2007,917489689,865876987
anxiety,08/05/2007,329358209,924048504
lake,09/05/2007,1484838,886642949
alcohol,10/05/2007,831136869,284119888
church,11/05/2007,414887697,44852725
hair,12/05/2007,135092364,913816624
fact,13/05/2007,199291546,732750144
newspaper,14/05/2007,665851092,85648841
actor,15/05/2007,534366762,99371972
attention,16/05/2007,328387155,942091757
goal,17/05/2007,889617250,27921429
truth,18/05/2007,922388519,496403747
leader,19/05/2007,261771346,25633654
event,20/05/2007,721475304,819757328
growth,21/05/2007,669424353,821305121
location,22/05/2007,108634512,311932634
driver,23/05/2007,733874802,277962176
bedroom,24/05/2007,367589971,298451869
hall,25/05/2007,657022520,127562515
reality,26/05/2007,521082400,866081167
attitude,27/05/2007,470579967,680876131
affair,28/05/2007,803212276,208223673
pie,29/05/2007,83019693,379821234
solution,30/05/2007,398973892,321690423
database,31/05/2007,268529900,84641570
message,01/06/2007,100158818,189819878
menu,02/06/2007,821692,181396602
airport,03/06/2007,360117917,284036219
throat,04/06/2007,595206199,576270385
fishing,05/06/2007,52133025,190544260
passenger,06/06/2007,704395850,715079554
guest,07/06/2007,83485251,303039647
promotion,08/06/2007,375775730,706002456
idea,09/06/2007,376959345,774063871
owner,10/06/2007,417006924,326209211
recipe,11/06/2007,482642071,498232158
economics,12/06/2007,176272329,764438441
guest,13/06/2007,805621422,355746760
courage,14/06/2007,915270313,543106007
driver,15/06/2007,841549068,518707754
device,16/06/2007,747973374,132611279
aspect,17/06/2007,586347978,35377432
inspector,18/06/2007,667817903,345012742
trainer,19/06/2007,475079556,425062531
strategy,20/06/2007,2958778,378661171
agency,21/06/2007,444602742,461957985
dealer,22/06/2007,251777025,864916472
love,23/06/2007,82367719,211905667
length,24/06/2007,791874258,287477256
article,25/06/2007,840182659,126781980
writer,26/06/2007,23364993,282148610
apple,27/06/2007,902289636,976172754
employer,28/06/2007,251486233,793994985
emphasis,29/06/2007,784156017,557732858
storage,30/06/2007,140691717,234509737
message,01/07/2007,370440483,660310277
reception,02/07/2007,46990634,473486610
chemistry,03/07/2007,16774262,887289657
fortune,04/07/2007,324249056,32353274
tongue,05/07/2007,963551477,251993509
arrival,06/07/2007,676978173,29181885
historian,07/07/2007,215430511,436614131
queen,08/07/2007,718141373,167262101
editor,09/07/2007,901649005,47931054
church,10/07/2007,735704411,781843706
height,11/07/2007,592522623,182043067
passenger,12/07/2007,2230684,488532923
night,13/07/2007,708142454,766564531
way,14/07/2007,515509270,553645481
basis,15/07/2007,551147260,738185719
system,16/07/2007,96515205,468128080
inflation,17/07/2007,971527654,594869491
road,18/07/2007,20251323,903616165
marketing,19/07/2007,284545031,246867174
