AreaID,areaName
1,West Drayton
2,Knutsford
3,Monroe
4,Lexington
5,Bautzen
6,Columbia
7,Glendale
8,New Delhi
9,Grand Rapids
10,Maryville
11,West Sussex
12,Double Oak
13,Kuopio
14,Samrand
15,St-bruno
16,Calcutta
17,Buenos Aires
18,Ringwood
19,North bethesda
20,Paal Beringen
21,Cle Elum
22,West Chester
23,Zürich
24,St-laurent
25,Hohenfels
26,Shelton
27,Oakland
28,League city
29,Northampton
30,Zipf
31,Oklahoma city
32,Salt Lake City
33,Duisburg
34,Cuiabá
35,Hamburg
36,St-laurent
37,Mountain View
38,Mexico City
39,Fair Lawn
40,St-laurent
41,Breda
42,Milan
43,Forest Park
44,Kerava
45,Englewood Cliffs
46,Elche
47,New orleans
48,Dallas
49,Salzburg
50,Augsburg
51,Calcutta
52,Stuttgart
53,Bloomington
54,Crete
55,Exeter
56,Oak Park
57,Rochester
58,Oshkosh
59,Londrina
60,Monterrey
61,Suffern
62,Erpe-Mere
63,Valencia
64,Oakland
65,Gaithersburg
66,Chennai
67,New Delhi
68,Oosterhout
69,Holts Summit
70,Key Biscayne
71,Berkshire
72,Fort Saskatchewan
73,Debary
74,Berwyn
75,Gettysburg
76,Athens
77,Belp
78,Fort Collins
79,San Ramon
80,Jacksonville
81,Lake worth
82,Paris
83,Flower mound
84,Irati
85,Rothenburg
86,Oak park
87,Porto alegre
88,Durban
89,Sugar Land
90,Saga
91,New Hyde Park
92,Dietikon
93,Ann Arbor
94,Aachen
95,Di Savigliano
96,Lucca
97,Uetikon am See
98,Fairborn
99,Ulm
100,Munich
101,Pitstone
102,West Monroe
103,Grand Rapids
104,Takamatsu
105,Buenos Aires
106,Key Biscayne
107,West Lafayette
108,Johannesburg
109,Berwyn
110,Canberra
111,Stans
112,Sugar Hill
113,Chapeco
114,Doncaster
115,Oldwick
116,Overland park
117,Ohita
118,Istanbul
119,Matsue
120,Hayward
121,Nordhausen
122,Oklahoma city
123,Coquitlam
124,Schlieren
125,Rothenburg
126,Chaam
127,Singapore
128,N. ft. Myers
129,Ittigen
130,Sheffield
131,Abbotsford
132,London
