projectName,startDate,CID,PID,finishDate
Computer World Services,30/04/1995,306601771,716761018,23/03/2020
ProSys Information Systems,23/02/1981,118998479,614656748,19/12/2029
PowerLight,10/02/1993,655371036,431322854,05/02/2025
Aristotle,28/11/2018,24353550,993963079,11/09/2020
Simply Certificates,03/01/2004,102869051,414621750,31/12/2029
Kitba Consulting Services,09/10/2000,600675214,872919841,18/10/2030
Advantage Credit International,18/07/2018,831540973,382335416,29/05/2029
Tropical Oasis,20/05/2002,210833185,408232609,06/07/2023
Homebuilders Financial Network,26/07/1989,612261585,328358281,04/02/2030
TechRX,10/02/2013,569368398,578611939,13/01/2023
Clorox Co.,08/02/1989,261776065,289378299,24/11/2024
Network Management Resources,08/03/2001,379976434,577471705,12/06/2023
Staff Force,26/03/2007,590870727,459296024,29/09/2020
Entelligence,22/01/1991,401692985,374393508,11/10/2027
Heartland Payment Systems,15/03/2012,370463264,838743140,18/07/2030
Network Management Resources,21/09/2013,430465996,264056554,11/07/2029
Qestrel Cos.,17/11/1990,253087273,506671421,17/05/2020
Universal Solutions,15/10/1999,435894338,377443444,01/02/2022
Intrasphere Technologies,08/06/2006,184545453,343653821,16/07/2021
SBC Communications,24/11/2018,5810985,921201886,05/09/2023
Global Wireless Data,21/07/2007,741254549,752506072,19/05/2028
Staff One,05/03/2010,535320946,36000091,19/05/2025
Procter & Gamble Co.,25/08/1989,530150533,939839577,16/09/2022
Ivory Systems,29/08/2010,446054373,338177341,24/01/2021
State Farm Mutual Automobile Insur,28/09/2019,104180912,37736695,28/03/2028
Wendy’s International,25/11/1981,271172803,734105947,13/05/2029
Albertson’s,14/04/1997,619691279,677463854,22/08/2026
Telepoint Communications,02/05/2008,398150628,329204996,20/11/2026
Gillani,18/08/2011,35512454,420908575,19/07/2030
Tastefully Simple,07/02/2006,222121577,651281009,12/12/2023
New Media Communications,23/08/2005,614033378,576021663,29/01/2029
G.A. Beck Artistic Services,02/01/2002,156233707,337684874,26/07/2028
S.C. Johnson & Son,02/01/2002,180911,96110207,09/07/2028
Gateway,04/05/1984,836368683,57140166,03/04/2026
Strategic Management Initiatives,16/07/2011,495272142,220970675,27/03/2024
